signal_time,相对强弱信号,BTCUSDT,ETHUSDT,SOLUSDT,,处理后等权持仓,BTCUSDT,ETHUSDT,SOLUSDT,,return,diff,pnl
2025/7/24 21:45,,0.001943708,0.056029916,-0.13181949,,,0,0.5,-0.5,,8.98E-05,0.001026617,0.1595%
2025/7/24 21:50,,0.010019302,0.05572343,-0.13349622,,,0,0.5,-0.5,,9.20E-05,0.002023788,0.1687%
2025/7/24 21:55,,0.008056998,0.040822268,-0.11891019,,,0,0.5,-0.5,,0.000474506,0.001643532,0.2161%
2025/7/24 22:00,,0.010001898,0.051600456,-0.14934725,,,0,0.5,-0.5,,9.28E-05,0.002051737,0.2254%
2025/7/24 22:05,,0.016037583,0.0629462,-0.1109283,,,0,0.5,-0.5,,-7.34E-06,0.002729187,0.2247%
2025/7/24 22:10,,0.000914097,0.05792308,-0.12740064,,,0,0.5,-0.5,,0.000119696,0.000896023,0.2367%
2025/7/24 22:15,,0.00236392,0.062594175,-0.14080691,,,0,0.5,-0.5,,0.00013251,0.001148319,0.2499%
2025/7/24 22:20,,0.010144949,0.06845367,-0.13661528,,,0,0.5,-0.5,,-0.000151581,0.00212573,0.2348%
2025/7/24 22:25,,0.015432,0.06419599,-0.1401918,,,0,0.5,-0.5,,-4.69E-05,0.002762975,0.2301%
2025/7/24 22:30,,0.03397751,0.06390083,-0.13430202,,,0,0.5,-0.5,,0.000184511,0.005021839,0.2485%
2025/7/24 22:35,,0.019459486,0.052117825,-0.13976061,,,0,0.5,-0.5,,4.82E-05,0.003184972,0.2533%
2025/7/24 22:40,,0.018372536,0.047748327,-0.12968749,,,0,0.5,-0.5,,0.000152955,0.002990582,0.2686%
2025/7/24 22:45,,0.018726945,0.045016766,-0.13406622,,,0,0.5,-0.5,,6.50E-06,0.003033008,0.2693%
2025/7/24 22:50,,0.001350284,0.0645833,-0.11638415,,,0,0.5,-0.5,,9.88E-05,0.000951334,0.2792%
2025/7/24 22:55,,0.003735185,0.06387329,-0.12180704,,,0,0.5,-0.5,,0.000203672,0.001259115,0.2995%
2025/7/24 23:00,,0.01266396,0.053843975,-0.15393186,,,0,0.5,-0.5,,-8.63E-05,0.002408289,0.2909%
2025/7/24 23:05,,0.006122112,0.06189692,-0.13014507,,,0,0.5,-0.5,,-9.76E-05,0.001569655,0.2811%
2025/7/24 23:10,,0.009668946,0.05100131,-0.14065737,,,0,0.5,-0.5,,0.000141134,0.001977279,0.2953%
2025/7/24 23:15,,0.017811894,0.06463778,-0.15382314,,,0,0.5,-0.5,,-0.000278508,0.003105278,0.2674%
