signal_time,return,diff,pnl
1753872000,0.000648037,0.001005633,3.3651%
1753872300,-0.000751328,0.001701294,3.2900%
1753872600,-0.000802608,0.002269344,3.2097%
1753872900,0.000197437,0.001424473,3.2294%
1753873200,0.000452541,0.00173484,3.2747%
1753873500,-2.53E-05,0.001302793,3.2722%
1753873800,0.000897941,0.001901348,3.3620%
1753874100,0.000432134,0.00116175,3.4052%
1753874400,-0.000703489,0.002270647,3.3348%
1753874700,-0.001314718,0.003240203,3.2034%
1753875000,-0.00013541,0.004043128,3.1898%
1753875300,0.000490244,0.003515146,3.2388%
1753875600,-0.000740415,0.001479697,3.1648%
1753875900,-0.000506765,0.001931099,3.1141%
1753876200,-0.001407735,0.003680439,2.9734%
1753876500,0.000313544,0.003836531,3.0047%
1753876800,0.000739176,0.001232094,3.0786%
1753877100,-0.000446207,0.0018448,3.0340%
1753877400,-0.000355064,0.002635196,2.9985%
1753877700,0.001143978,0.004602663,3.1129%
1753878000,0.001556966,0.003298585,3.2686%
1753878300,-0.000645445,0.001755405,3.2040%
1753878600,0.002012855,0.002374336,3.4053%
1753878900,0.000301786,0.001266994,3.4355%
1753879200,-0.000251172,0.00230544,3.4104%
1753879500,-0.001134666,0.003700404,3.2969%
1753879800,0.000444031,0.00237124,3.3413%
1753880100,-0.000722234,0.00209282,3.2691%
1753880400,-0.001408768,0.001737687,3.1282%
1753880700,0.001349002,0.001760735,3.2631%
1753881000,-0.002362879,0.002576796,3.0268%
1753881300,0.000192092,0.002576132,3.0461%
1753881600,0.001077028,0.001838743,3.1538%
1753881900,-0.000956375,0.0018635,3.0581%
1753882200,0.000794196,0.001969268,3.1375%
1753882500,0.000354546,0.002982474,3.1730%
1753882800,0.00076074,0.001605244,3.2491%
1753883100,-0.002224933,0.000916841,3.0266%
1753883400,-0.001111022,0.001502923,2.9155%
1753883700,0.000296553,0.000949003,2.9451%
1753884000,0.000890948,0.001593869,3.0342%
1753884300,0.000263596,0.003066641,3.0606%
1753884600,0.00033824,0.003187319,3.0944%
1753884900,-0.001216248,0.003890603,2.9728%
1753885200,0.000314112,0.004076892,3.0042%
1753885500,-0.000237182,0.003359877,2.9805%
1753885800,0.001502434,0.000947236,3.1307%
1753886100,0.00075385,0.001497554,3.2061%
1753886400,0.001505226,0.003827567,3.3566%
1753886700,0.001029125,0.003707852,3.4595%
1753887000,0.00277218,0.002052003,3.7368%
1753887300,-0.001253023,0.00384352,3.6115%
1753887600,-0.001223002,0.003427129,3.4891%
1753887900,-0.001771849,0.001125962,3.3120%
1753888200,0.000410107,0.002120509,3.3530%
1753888500,9.98E-05,0.001233731,3.3630%
1753888800,-0.000597822,0.002074007,3.3032%
1753889100,-0.000746679,0.001810382,3.2285%
1753889400,-8.54E-05,0.002193316,3.2200%
1753889700,0.00048637,0.001593375,3.2686%
1753890000,-0.000285649,0.002539023,3.2400%
1753890300,0.00010431,0.001271655,3.2505%
1753890600,0.00049795,0.001368096,3.3003%
1753890900,-0.001025103,0.001803037,3.1978%
1753891200,-0.001010813,0.001467026,3.0967%
1753891500,-0.002291968,0.00163203,2.8675%
1753891800,0.00021008,0.000983758,2.8885%
1753892100,0.001592079,0.002563798,3.0477%
1753892400,0.001484342,0.002545335,3.1961%
1753892700,0.000581725,0.001899254,3.2543%
1753893000,0.001001916,0.001178091,3.3545%
1753893300,-0.000617816,0.001188049,3.2927%
1753893600,-0.001678084,0.001634769,3.1249%
1753893900,0.001069974,0.001801503,3.2319%
1753894200,0.000257775,0.002209158,3.2577%
1753894500,0.000690182,0.001552736,3.3267%
1753894800,0.000169161,0.003696898,3.3436%
1753895100,-0.000432557,0.002449797,3.3004%
1753895400,0.000727471,0.00101875,3.3731%
1753895700,0.000308045,0.003446928,3.4039%
1753896000,-0.000160616,0.000978816,3.3878%
1753896300,0.000617848,0.001859489,3.4496%
1753896600,-0.000337711,0.002526346,3.4159%
1753896900,-0.000311989,0.001080129,3.3847%
1753897200,-2.50E-05,0.001884636,3.3822%
1753897500,-9.64E-06,0.001503378,3.3812%
1753897800,-0.000570662,0.00133973,3.3241%
1753898100,-0.000337483,0.00243884,3.2904%
1753898400,-0.001774481,0.002325986,3.1129%
1753898700,-0.000383088,0.003063734,3.0746%
1753899000,-0.00013538,0.002392898,3.0611%
1753899300,0.001011311,0.002265177,3.1622%
1753899600,-0.000744869,0.002631775,3.0877%
1753899900,-0.000697103,0.002099509,3.0180%
1753900200,0.001571344,0.001472732,3.1752%
1753900500,-0.002865905,0.001489658,2.8886%
1753900800,0.002357274,0.001669079,3.1243%
1753901100,-0.004638472,0.005709766,2.6604%
1753901400,0.000322067,0.000917809,2.6927%
1753901700,-0.002279872,0.001092902,2.4647%
1753902000,0.002045413,0.001872114,2.6692%
1753902300,0.001296401,0.004788807,2.7988%
1753902600,0.000821642,0.0024461,2.8810%
1753902900,-0.000718805,0.001569829,2.8091%
1753903200,0.001860043,0.004688162,2.9951%
1753903500,-0.00138143,0.003802908,2.8570%
1753903800,0.001037371,0.004288099,2.9607%
1753904100,0.000960483,0.003557925,3.0568%
1753904400,0.00210208,0.002499774,3.2670%
1753904700,0.003117319,0.003252515,3.5787%
1753905000,-0.003029456,0.001229505,3.2758%
1753905300,-0.001205046,0.001327357,3.1553%
1753905600,0.000964674,0.00181335,3.2517%
1753905900,0.001237627,0.001390524,3.3755%
1753906200,-0.000632119,0.001090293,3.3123%
1753906500,0.000257431,0.00162138,3.3380%
1753906800,0.001191579,0.002328744,3.4572%
1753907100,-0.001165333,0.001458422,3.3407%
1753907400,0.000620794,0.0015534,3.4027%
1753907700,0.001868752,0.002937502,3.5896%
1753908000,-0.000289134,0.002482959,3.5607%
1753908300,-0.00136517,0.001175626,3.4242%
1753908600,0.001001268,0.001199188,3.5243%
1753908900,0.000712072,0.001820784,3.5955%
1753909200,-0.001653157,0.003122539,3.4302%
1753909500,0.000752011,0.003398402,3.5054%
1753909800,-0.001525717,0.001189186,3.3528%
1753910100,0.000547894,0.003338053,3.4076%
1753910400,-0.000122364,0.001529809,3.3954%
1753910700,0.000183977,0.003181374,3.4138%
